Similarity Metric,Clinical Quality,N,Spearman_rho,p_value,Holm_adjusted_p,Significant
ROUGE-1,Factuality Score,108,0.14698569061124708,0.1290135776709584,0.7313427923273015,False
ROUGE-1,coverage,108,0.3506976705624313,0.00019839472366365283,0.002380736683963834,True
ROUGE-1,Conciseness Score,108,0.666514237808073,3.4556776194308177e-15,5.1835164291462265e-14,True
ROUGE-2,Factuality Score,108,0.15954213746127288,0.099086195907965,0.7313427923273015,False
ROUGE-2,coverage,108,0.3802435059052366,4.9243897214357466e-05,0.0006894145610010045,True
ROUGE-2,Conciseness Score,108,0.710318481046424,7.376112169413487e-18,1.2539390688002927e-16,True
ROUGE-L,Factuality Score,108,0.2321495344969386,0.015622283777747315,0.14060055399972585,False
ROUGE-L,coverage,108,0.3547821056678956,0.0001649422881305217,0.002144249745696782,True
ROUGE-L,Conciseness Score,108,0.7176510656966483,2.3542824176033524e-18,4.237708351686034e-17,True
BLEU,Factuality Score,108,0.15754148963236136,0.10344987810396385,0.7313427923273015,False
BLEU,coverage,108,0.3196833638164335,0.0007447724312812867,0.008192496744094153,True
BLEU,Conciseness Score,108,0.697866948660055,4.7397067692115076e-17,7.583530830738412e-16,True
BERTScore_F1,Factuality Score,108,-0.07398586209203387,0.44666868151472827,1.0,False
BERTScore_F1,coverage,108,0.09850201035700461,0.31047760509194544,1.0,False
BERTScore_F1,Conciseness Score,108,0.3026189183267122,0.0014560642792342503,0.014560642792342503,True
Embedding_Similarity,Factuality Score,108,-0.011084568061769677,0.9093509330364079,1.0,False
Embedding_Similarity,coverage,108,0.06066279350197171,0.5328474434019241,1.0,False
Embedding_Similarity,Conciseness Score,108,0.16323264271827598,0.09141784904091269,0.7313427923273015,False
