part,index,Weighted_SFT_Coverage,DPO_Type,DPO_Coverage,Difference
01,1,0.3846,Estimated,0.2596,-0.125
01,2,0.375,Estimated,0.1397,-0.2353
01,4,0.25,Estimated,0.33340000000000003,0.08340000000000003
01,10,1.0,Observed,0.8,-0.19999999999999996
01,12,0.875,Observed,0.625,-0.25
01,19,1.0,Estimated,1.0,0.0
01,25,0.4286,Observed,0.4286,0.0
01,27,0.5333,Estimated,0.5333,0.0
01,31,0.0909,Estimated,0.2909,0.2
01,32,0.7778,Observed,1.0,0.22219999999999995
01,36,0.75,Observed,0.75,0.0
01,38,1.0,Observed,1.0,0.0
01,39,0.3077,Observed,0.2308,-0.07689999999999997
01,40,0.8889,Estimated,0.8889,0.0
01,42,0.1538,Observed,0.3077,0.15389999999999998
02,1,0.7857,Observed,0.7857,0.0
02,2,0.5455,Estimated,0.4865999999999999,-0.05890000000000006
02,5,0.6667,Observed,0.6667,0.0
02,8,0.5,Estimated,0.5,0.0
02,10,0.4545,Observed,0.6364,0.18189999999999995
02,11,0.5,Estimated,0.30000000000000004,-0.19999999999999996
02,13,0.6364,Estimated,0.6364,0.0
02,15,0.625,Observed,0.625,0.0
02,19,0.7222,Observed,0.5556,-0.16659999999999997
02,21,0.6471,Observed,0.5882,-0.05890000000000006
02,24,0.3846,Estimated,0.7596,0.37500000000000006
02,25,0.625,Estimated,0.5536,-0.07140000000000002
02,28,0.6,Estimated,0.3777,-0.2223
02,33,0.5385,Estimated,0.5385,0.0
02,39,0.9,Observed,0.9,0.0
02,40,0.75,Observed,0.6875,-0.0625
02,44,0.5333,Observed,0.4667,-0.06659999999999999
02,48,0.6667,Observed,0.75,0.08330000000000004
03,2,0.7778,Observed,0.6667,-0.11110000000000009
03,3,0.6111,Observed,0.6667,0.05559999999999998
03,4,0.375,Observed,0.125,-0.25
03,5,0.5556,Observed,0.3333,-0.2223
03,10,0.5,Estimated,0.30000000000000004,-0.19999999999999996
03,11,0.375,Observed,0.25,-0.125
03,13,0.3333,Observed,0.5556,0.2223
03,16,0.3636,Estimated,0.23859999999999998,-0.125
03,17,0.4762,Observed,0.4762,0.0
03,18,0.375,Observed,0.25,-0.125
03,19,0.2222,Estimated,0.09720000000000001,-0.125
03,21,1.0,Observed,1.0,0.0
03,24,0.375,Observed,0.75,0.375
03,26,0.7778,Observed,0.8889,0.11109999999999998
03,27,0.5714,Observed,0.5714,0.0
03,28,0.9167,Observed,1.0,0.08330000000000004
03,36,0.4444,Observed,0.4444,0.0
03,37,0.3333,Estimated,0.3888,0.055499999999999994
03,38,0.3,Observed,1.0,0.7
03,42,0.1667,Observed,0.5,0.33330000000000004
03,46,0.7143,Estimated,0.7143,0.0
04,1,0.3077,Estimated,0.6076999999999999,0.29999999999999993
04,3,0.2,Observed,0.4,0.2
04,5,0.7778,Observed,1.0,0.22219999999999995
04,9,0.5,Observed,0.5,0.0
04,10,0.8667,Observed,0.8667,0.0
04,11,0.4667,Estimated,0.6486,0.18189999999999995
04,15,0.7333,Estimated,0.7333,0.0
04,16,0.4167,Estimated,0.6167,0.2
04,17,0.625,Estimated,0.5536,-0.07140000000000002
04,20,0.4286,Estimated,0.6286,0.20000000000000007
04,22,0.5455,Observed,0.5455,0.0
04,24,0.5,Observed,0.4286,-0.07140000000000002
04,27,0.3333,Estimated,0.20829999999999999,-0.125
04,34,0.5385,Estimated,0.5385,0.0
04,42,0.25,Observed,0.5,0.25
04,45,0.5385,Estimated,0.46709999999999996,-0.07140000000000002
04,49,0.6154,Observed,0.5385,-0.07689999999999997
05,2,0.5714,Observed,0.4286,-0.14280000000000004
05,7,0.5,Estimated,0.375,-0.125
05,8,0.1667,Estimated,0.0,-0.1667
05,10,0.5556,Observed,0.6111,0.055499999999999994
05,12,0.3077,Observed,0.3077,0.0
05,19,0.6087,Observed,0.6087,0.0
05,21,0.5714,Estimated,0.5714,0.0
05,22,0.5,Estimated,0.5,0.0
05,28,1.0,Observed,0.7778,-0.22219999999999995
05,33,0.4,Observed,0.2,-0.2
05,34,0.9545,Observed,0.9545,0.0
05,36,0.7143,Estimated,0.7143,0.0
05,48,0.3333,Observed,0.4167,0.08340000000000003
05,49,0.7333,Observed,0.8,0.06670000000000009
06,2,0.4444,Estimated,0.4999,0.055499999999999994
06,4,0.2727,Observed,0.2727,0.0
06,6,0.625,Observed,0.5,-0.125
06,11,0.5,Estimated,0.5555,0.055499999999999994
06,15,0.375,Observed,0.75,0.375
06,16,1.0,Observed,1.0,0.0
06,18,0.625,Estimated,0.75,0.125
06,19,0.7143,Observed,0.8571,0.14279999999999993
06,20,0.6,Observed,0.6667,0.06669999999999998
06,25,0.4286,Observed,0.2857,-0.14289999999999997
06,28,0.3889,Observed,0.4444,0.055499999999999994
06,30,0.5,Observed,0.625,0.125
06,31,0.4118,Observed,0.1765,-0.2353
06,33,0.6,Observed,0.8,0.20000000000000007
06,35,1.0,Estimated,1.0,0.0
06,36,0.25,Observed,0.125,-0.125
06,38,0.35,Observed,0.65,0.30000000000000004
06,39,0.6364,Estimated,0.565,-0.07140000000000002
06,43,1.0,Observed,0.7692,-0.2308
06,44,0.5,Estimated,0.7000000000000001,0.20000000000000007
06,45,0.6,Observed,0.4,-0.19999999999999996
06,46,0.3,Observed,0.6,0.3
06,48,0.625,Observed,0.625,0.0
